document_name,domain,question,answer,modality,reasoning_type,page
TransUNet,CV,Thiết bị GPU nào được sử dụng để tiến hành toàn bộ các thí nghiệm trong bài báo TransUNet?,Một card đồ họa NVIDIA RTX 2080Ti GPU duy nhất.,text,fact_extraction,6
Attention is All you need;BERT,NLP,Số lượng head của multi-head attention được sử dụng mặc định trong Transformer base và BERT BASE lần lượt là bao nhiêu?,"Transformer base sử dụng 8 heads, còn BERT BASE sử dụng 12 heads.",text;text,comparative,5;3
Attention is All you need;BERT,NLP,Encoder của Transformer base và BERT BASE lần lượt gồm bao nhiêu layers (Transformer blocks)?,"Encoder của Transformer base gồm 6 layers, còn BERT BASE gồm 12 layers.",text;text,comparative,2;3
Attention is All you need;BERT,NLP,Kích thước chiều ẩn dmodel/H của Transformer base và BERT BASE lần lượt là bao nhiêu?,"Chiều ẩn của Transformer base là 512, còn của BERT BASE là 768.",text;text,comparative,3;3
Attention is All you need;BERT,NLP,So sánh kích thước lớp ẩn feed-forward của Transformer base và BERT BASE?,"Kích thước lớp ẩn feed-forward của Transformer base là 2048, còn của BERT BASE là 3072.",text;text,comparative,5;3
Attention is All you need;BERT,NLP,Điểm khác biệt cơ bản trong việc xử lý ngữ cảnh giữa cơ chế attention ở encoder của Transformer và của BERT là gì?,"Encoder của Transformer sử dụng bidirectional self-attention để học ngữ cảnh từ cả hai hướng, và BERT cũng áp dụng cơ chế bidirectional self-attention này của Transformer encoder nhưng cho các tác vụ biểu diễn ngôn ngữ bidirectional pre-training sâu sắc.",text;text,comparative,2;3
Attention is All you need;BERT,NLP,Số lượng tham số của Transformer big và BERT LARGE lần lượt là bao nhiêu?,"Transformer big có 213M tham số, còn BERT LARGE có 340M tham số.",table;text,comparative,9;3
Attention is All you need;BERT,NLP,Tham số beta2 trong Adam optimizer được sử dụng khi training Transformer big và pre-training BERT lần lượt là bao nhiêu?,"Transformer sử dụng beta2 = 0.98, còn BERT sử dụng beta2 = 0.999.",text;text,comparative,7;13
Attention is All you need;BERT,NLP,"Để xử lý thông tin vị trí của các token trong chuỗi khi không sử dụng recurrence hay convolution, Transformer và BERT có sự lựa chọn nào khác nhau về positional encoding/embedding?","Transformer sử dụng sinusoidal positional encoding cố định (mặc định), còn BERT sử dụng learned positional embeddings (thông số học được).",text;text,comparative,6;4
Attention is All you need;BERT,NLP,So sánh số bước huấn luyện (training steps) của Transformer base và BERT BASE trong pre-training?,"Transformer base được huấn luyện trong 100,000 bước, còn BERT BASE được pre-train trong 1,000,000 bước (nhiều gấp 10 lần).",text;text,comparative,7;13
Attention is All you need;BERT,NLP,Dropout rate được sử dụng mặc định trong cả Transformer base và BERT BASE trong quá trình huấn luyện là bao nhiêu?,Cả hai mô hình đều sử dụng tỷ lệ dropout mặc định là 0.1.,text;text,fact_extraction,7;13
Attention is All you need;BERT,NLP,So sánh số lượng GPU và thời gian huấn luyện mô hình Transformer big so với việc fine-tune BERT?,"Transformer big mất 3.5 ngày huấn luyện trên 8 GPU P100, trong khi việc fine-tune BERT rất rẻ, chỉ mất tối đa 1 giờ trên một Cloud TPU hoặc vài giờ trên GPU.",text;text,comparative,7;5
Attention is All you need;BERT,NLP,"Trong các thí nghiệm dịch máy WMT 2014, Transformer sử dụng bao nhiêu token từ vựng chia sẻ, và BERT sử dụng từ vựng WordPiece kích thước bao nhiêu?","Transformer sử dụng vocabulary khoảng 37,000 tokens (English-to-German), còn BERT sử dụng từ vựng WordPiece gồm 30,000 tokens.",text;text,fact_extraction,7;4
Attention is All you need;BERT,NLP,"Công thức tính toán attention cơ bản của Transformer là gì, và BERT sử dụng nó trong thành phần nào?","Transformer sử dụng Scaled Dot-Product Attention: Attention(Q,K,V) = softmax(Q K^T / sqrt(d_k)) V, và BERT sử dụng nó trong tất cả các multi-layer bidirectional Transformer encoder blocks.",image;text,fact_extraction,4;3
Attention is All you need;BERT,NLP,"Transformer đạt được bao nhiêu BLEU trên tập English-to-German WMT 2014, và BERT đạt bao nhiêu F1 trên SQuAD v1.1 Test?","Transformer (big) đạt 28.4 BLEU, còn BERT (ensemble) đạt 93.2 F1 trên SQuAD v1.1 Test.",text;text,fact_extraction,1;1
Attention is All you need;BERT,NLP,"Kích thước batch training chứa bao nhiêu token trong Transformer, và kích thước batch size khi pre-train BERT là bao nhiêu?","Transformer sử dụng batch chứa 25,000 source tokens và 25,000 target tokens, còn BERT pre-train với batch size chứa 256 sequences (mỗi sequence 512 tokens).",text;text,fact_extraction,7;13
TransUNet;MultiResUnet,CV,TransUNet và MultiResUNet cùng đề xuất giải pháp cải tiến dựa trên kiến trúc gốc nào?,Cả hai đều đề xuất giải pháp cải tiến dựa trên kiến trúc gốc U-Net cho bài toán phân vùng ảnh (segmentation).,text;text,comparative,1;1
TransUNet;MultiResUnet,CV,Số lượng tham số của mô hình MultiResUNet 2D là bao nhiêu và TransUNet Base được huấn luyện trên loại GPU nào?,"MultiResUNet 2D có 7,262,750 tham số, và TransUNet được huấn luyện trên một card đồ họa NVIDIA RTX 2080Ti GPU duy nhất.",table;text,fact_extraction,11;6
TransUNet;MultiResUnet,CV,Kích thước ảnh đầu vào mặc định của TransUNet và MultiResUNet trên tập dữ liệu nội soi (Endoscopy/CVC-ClinicDB) lần lượt là bao nhiêu?,"TransUNet sử dụng kích thước đầu vào mặc định là 224x224, còn MultiResUNet resize ảnh Endoscopy về kích thước 256x192.",text;table,fact_extraction,6;11
TransUNet;MultiResUnet,CV,TransUNet và MultiResUNet sử dụng thuật toán tối ưu (optimizer) nào khi huấn luyện mô hình?,"TransUNet sử dụng SGD optimizer, còn MultiResUNet sử dụng Adam optimizer.",text;text,comparative,6;12
TransUNet;MultiResUnet,CV,"TransUNet and MultiResUNet both aim to improve U-Net. What is the key mechanism introduced by TransUNet to model global context, and what does MultiResUNet introduce to reconcile incompatible features between encoder and decoder?","TransUNet introduces self-attention mechanisms via Transformers to model global context, while MultiResUNet introduces Res Paths (residual paths) to reconcile incompatible features between encoder and decoder.",text;text,comparative,3;18
TransUNet;MultiResUnet,CV,So sánh số epochs huấn luyện mặc định của TransUNet (trên ACDC/Synapse) và MultiResUNet?,"TransUNet được huấn luyện mặc định với số epochs tương ứng 20k iterations (ACDC) và 14k iterations (Synapse), còn MultiResUNet được huấn luyện mặc định trong 150 epochs.",text;text,comparative,6;12
TransUNet;MultiResUnet,CV,"Trên tập dữ liệu Synapse (ở TransUNet) và tập MRI BraTS17 (ở MultiResUNet), tác giả của hai bài báo sử dụng kỹ thuật phân vùng 3D hay phân vùng slice-by-slice 2D?",Cả hai đều sử dụng phân vùng slice-by-slice (2D) trên các lát cắt của dữ liệu 3D sau đó ghép lại để tái cấu trúc.,text;text,fact_extraction,6;10
TransUNet;MultiResUnet,CV,"Theo Table 1 của TransUNet và Table 3 của MultiResUNet, số tham số của mô hình U-Net baseline 2D trong hai nghiên cứu lần lượt là bao nhiêu?","U-Net baseline trong TransUNet sử dụng encoder pretrained ResNet-50 (R50 U-Net) hoặc U-Net tiêu chuẩn, còn U-Net baseline trong MultiResUNet có 7,759,521 tham số.",text;table,fact_extraction,6;11
TransUNet;MultiResUnet,CV,Loại loss function được sử dụng để tối ưu hóa mô hình trong TransUNet và MultiResUNet là gì?,"TransUNet sử dụng loss kết hợp Cross Entropy và Dice loss (được tối ưu hóa qua SGD), còn MultiResUNet sử dụng Binary Cross Entropy loss (được tối ưu hóa qua Adam).",text;text,comparative,4;12
TransUNet;MultiResUnet,CV,So sánh kết quả Jaccard Index (hoặc Dice Score) trung bình trên tập dữ liệu Dermoscopy (nốt ruồi/ung thư da) của mô hình TransUNet và MultiResUnet?,"TransUNet đạt Dice Score trung bình là 77.48% trên Synapse (không chạy Dermoscopy), còn MultiResUNet đạt Jaccard Index trung bình là 80.2988% trên tập Dermoscopy.",table;table,comparative,6;14
TransUNet;MultiResUnet,CV,So sánh số lượng ca huấn luyện/kiểm tra được sử dụng trong tập dữ liệu Synapse (của TransUNet) và tập Dermoscopy ISIC-2018 (của MultiResUNet)?,"Synapse có 18 ca training và 12 ca validation, còn Dermoscopy ISIC-2018 gồm tổng cộng 2594 ảnh có gán nhãn của chuyên gia.",text;table,fact_extraction,6;11
TransUNet;MultiResUnet,CV,TransUNet và MultiResUNet giải quyết vấn đề trích xuất đặc trưng đa tỷ lệ (multi-scale feature extraction) bằng các thành phần cấu trúc khác nhau nào?,"TransUNet sử dụng cơ chế Patch Embedding và Transformer layer để học ngữ cảnh toàn cục đa tỷ lệ, còn MultiResUNet đề xuất MultiRes Block lấy cảm hứng từ Inception block với các kích thước kernel song song (3x3, 5x5, 7x7).",text;text,comparative,4;18
TransUNet;MultiResUnet,CV,Cấu trúc bộ giải mã (decoder) trong kiến trúc đề xuất của TransUNet và MultiResUNet có tên gọi là gì?,"TransUNet sử dụng bộ giải mã có tên là Cascaded Upsampler (CUP), còn MultiResUNet sử dụng bộ giải mã U-Net cải tiến kết hợp với các Res Path từ phía encoder.",text;text,comparative,5;18
TransUNet;MultiResUnet,CV,Nguồn code và mô hình của TransUNet và MultiResUNet được tác giả chia sẻ công khai ở địa chỉ nào?,"TransUNet chia sẻ tại github.com/Beckschen/TransUNet, còn MultiResUNet không ghi cụ thể link Github trong bài báo (chỉ ghi địa chỉ liên hệ của tác giả).",text;text,fact_extraction,1;1
TransUNet;MultiResUnet,CV,"Trong phần kết luận của hai bài báo TransUNet và MultiResUnet, các tác giả đều nhấn mạnh cấu trúc nào đóng vai trò là ""tiêu chuẩn thực tế"" (de-facto standard) trong phân vùng ảnh y tế?",Cả hai bài báo đều công nhận kiến trúc U-Net là tiêu chuẩn thực tế (de-facto standard) cho phân vùng ảnh y tế.,text;text,fact_extraction,1;1
BERT,NLP,"Theo bài báo BERT, tại sao việc sử dụng MLM (Masked Language Model) kết hợp với NSP (Next Sentence Prediction) trong pre-training lại quan trọng đối với các tác vụ hạ nguồn như QA và NLI so với chỉ dùng MLM?","NSP giúp mô hình học mối quan hệ giữa hai câu (hữu ích cho QA và NLI), trong khi MLM chỉ học biểu diễn ngữ cảnh mức độ từ. Việc kết hợp cả hai cho phép mô hình tối ưu hóa đồng thời cả ngữ nghĩa cấp độ từ và mối quan hệ liên kết giữa các câu.",text,summarization,4
BERT,NLP,So sánh hiệu năng (F1 score) của BERTBASE và BERTLARGE trên tập dữ liệu SQuAD v1.1 Dev và Test. Mô hình nào tối ưu hơn và chênh lệch cụ thể là bao nhiêu?,"BERT_LARGE (Single) đạt EM/F1 lần lượt là 84.1/90.9 trên Dev và 85.1/91.8 nếu kết hợp TriviaQA. BERT_BASE (Single) đạt 80.8/88.5 trên Dev. BERT_LARGE tối ưu hơn, vượt trội hơn BERT_BASE 3.3% EM và 2.4% F1 trên tập Dev.",table,comparative,7
BERT,NLP,Tại sao kiến trúc BERT lại có khả năng giảm thiểu đáng kể sự cần thiết của các kiến trúc chuyên biệt cho từng tác vụ hạ nguồn (task-specific architectures)?,"Vì cơ chế tự chú ý (self-attention) của Transformer trong BERT cho phép mô hình hóa linh hoạt cả đầu vào là một câu đơn lẻ hoặc một cặp câu dưới dạng một chuỗi token thống nhất, chỉ cần thay đổi lớp đầu ra phù hợp là có thể áp dụng trực tiếp cho các tác vụ khác nhau.",text,summarization,2
BERT,NLP,"Trong phần ablation study ở Table 5, hiệu năng phân loại của BERT BASE bị ảnh hưởng như thế nào trên task MNLI-m và MRPC khi loại bỏ cơ chế NSP (""No NSP"") so với việc chuyển hẳn sang kiến trúc LTR (Left-to-Right) không có NSP (""LTR & No NSP"")?","Khi loại bỏ NSP (""No NSP""), điểm MNLI-m giảm 0.5% (từ 84.4% xuống 83.9%) và MRPC giảm 0.2% (từ 86.7% xuống 86.5%). Khi chuyển sang LTR & No NSP, điểm giảm mạnh hơn nhiều: MNLI-m giảm 2.3% (xuống 82.1%) và MRPC giảm 9.2% (xuống 77.5%). Điều này chứng tỏ tính hai chiều (bidirectionality) quan trọng hơn nhiều so với NSP đối với MRPC.",table,comparative,8
BERT,NLP,"Trong quá trình pre-training của BERT với Masked Language Model (MLM), việc áp dụng kỹ thuật chèn ngẫu nhiên các token không phải [MASK] chiếm 20% (trong số 15% vị trí được chọn) nhằm mục đích gì?","Nhằm giảm thiểu sự sai lệch giữa quá trình pre-training và fine-tuning, vì token đặc biệt [MASK] hoàn toàn không xuất hiện trong quá trình fine-tuning trên các tác vụ thực tế.",text,summarization,4
BERT,NLP,Hãy giải thích ý nghĩa đầy đủ của các từ cấu thành nên cụm từ viết tắt BERT (Bidirectional Encoder Representations from Transformers).,BERT là viết tắt cho cụm từ Bidirectional Encoder Representations from Transformers.,text,fact_extraction,1
BERT,NLP,"So sánh sự thay đổi về điểm F1 trên tập SQuAD 1.1 Dev giữa mô hình BERTBASE thông thường và các mô hình ablation ""No NSP"", ""LTR & No NSP"" trong Table 5. Sự thay đổi này cho thấy điều gì về vai trò của ngữ cảnh hai chiều?","BERT_BASE đạt 88.5 F1, ""No NSP"" đạt 87.9 F1 (giảm 0.6 F1), còn ""LTR & No NSP"" đạt 77.8 F1 (giảm tới 10.7 F1). Sự sụt giảm cực kỳ lớn này cho thấy ngữ cảnh hai chiều (bidirectional context) đóng vai trò quyết định đối với tác vụ dự đoán token như SQuAD vì mô hình LTR không thể tận dụng ngữ cảnh bên phải.",table,comparative,8
Attention is all you need,NLP,"Trong mô hình Transformer (Attention is all you need), tại sao cơ chế Scaled Dot-Product Attention lại cần thêm hệ số chia căn bậc hai của d_k so với cơ chế Dot-Product thông thường khi d_k có giá trị lớn?","Khi dk lớn, trị số của dot product tăng mạnh về độ lớn, đẩy hàm softmax vào các vùng có gradient cực kỳ nhỏ (bị bão hòa). Chia cho căn dk giúp thu nhỏ trị số dot product và tránh hiện tượng triệt tiêu gradient này.",text,summarization,4
Attention is all you need,NLP,"Theo Table 1 trong bài báo 'Attention is all you need', so sánh độ phức tạp tính toán trên mỗi layer và đường đi ngắn nhất (maximum path length) giữa cơ chế Self-Attention và Recurrent layer. Tại sao Self-Attention lại tối ưu hơn đối với các chuỗi có độ dài ngắn hơn chiều biểu diễn?","Self-Attention có độ phức tạp O(n^2 * d) và tối đa đường đi O(1). Recurrent có độ phức tạp O(n * d^2) và tối đa đường đi O(n). Khi chuỗi n ngắn hơn chiều biểu diễn d, O(n^2 * d) sẽ nhỏ hơn O(n * d^2), giúp Self-Attention tính toán nhanh hơn kết hợp khả năng song song hóa O(1) so với tính tuần tự O(n).",table,comparative,6
Attention is all you need,NLP,Việc chia sẻ chung một ma trận trọng số (shared weight matrix) giữa hai lớp nhúng (embedding layers) và lớp biến đổi tuyến tính trước softmax (pre-softmax linear transformation) trong Transformer mang lại lợi ích gì?,"Giúp giảm đáng kể tổng số lượng tham số của mô hình cần học và cho phép chia sẻ không gian biểu diễn ngữ nghĩa giữa đầu vào encoder, đầu vào decoder và các phân phối xác suất đầu ra.",text,summarization,5
Attention is all you need,NLP,"Dựa vào Table 2, hãy so sánh chi phí huấn luyện (Training Cost tính bằng FLOPs) và điểm BLEU trên tập English-to-German của Transformer (base model) và Transformer (big). Sự đánh đổi giữa hiệu năng và tài nguyên ở đây là gì?",Transformer base đạt 27.3 BLEU với chi phí 3.3 * 10^18 FLOPs. Transformer big đạt 28.4 BLEU (tăng 1.1 BLEU) với chi phí 2.3 * 10^19 FLOPs (gấp khoảng 7 lần). Sự đánh đổi là cải thiện một lượng nhỏ BLEU cần đánh đổi bằng lượng tính toán cực kỳ lớn.,table,comparative,8
Attention is all you need,NLP,"Trong cơ chế Multi-Head Attention của Transformer, việc thực hiện song song h đầu tự chú ý với kích thước giảm đi (dk = dv = dmodel / h) có ưu điểm gì so với việc áp dụng một đầu tự chú ý duy nhất trên toàn bộ dmodel?","Cho phép mô hình đồng thời chú ý và học thông tin từ các không gian biểu diễn con khác nhau ở các vị trí khác nhau, đồng thời giữ nguyên chi phí tính toán tương đương với single-head attention kích thước đầy đủ do chiều số học của mỗi head được thu nhỏ đi h lần.",text,summarization,4
Attention is all you need,NLP,"Theo Table 3 của bài báo ""Attention is all you need"", khi thay đổi hệ số label smoothing từ 0.0 (dòng A) sang 0.1 (dòng base model), điểm BLEU và perplexity (PPL) trên tập phát triển English-to-German thay đổi như thế nào? Sự thay đổi này phản ánh điều gì?","Khi không dùng label smoothing, PPL đạt 4.67 và BLEU đạt 25.3. Khi áp dụng label smoothing 0.1, PPL tăng lên 4.92 (tệ hơn) nhưng BLEU tăng lên 25.8 (tốt hơn). Điều này cho thấy label smoothing làm mô hình kém tự tin hơn về mặt xác suất (PPL cao hơn) nhưng cải thiện khả năng tổng quát hóa và độ chính xác dịch thuật (BLEU cao hơn).",table,comparative,9
MultiResUnet,CV,"Trong bài báo MultiResUNet, tại sao tác giả lại đề xuất khối 'Res Path' để thay thế cho skip connection thông thường trong kiến trúc U-Net?","Vì skip connection trực tiếp nối các đặc trưng cấp thấp từ encoder (chứa nhiều nhiễu) với đặc trưng cấp cao từ decoder, gây ra semantic gap lớn. Res Path chèn thêm các khối convolution phi tuyến để làm mịn các đặc trưng trước khi nối, giúp giảm semantic gap và cải thiện chất lượng phân vùng.",text,summarization,7
MultiResUnet,CV,So sánh sự khác biệt về số lượng tham số giữa U-Net baseline và MultiResUNet ở cả hai phiên bản 2D và 3D trong Table 3. Sự khác biệt này phản ánh điều gì về hiệu quả thiết kế của MultiResUNet?,"Bản 2D: U-Net có 7,759,521 tham số, MultiResUNet có 7,262,750 (giảm khoảng 496k tham số). Bản 3D: 3D U-Net có 19,078,593 tham số, MultiResUNet 3D có 18,657,689 (giảm khoảng 420k tham số). Điều này cho thấy MultiResUNet không chỉ cải tiến hiệu năng mà còn tối ưu hóa cấu trúc để gọn nhẹ hơn mô hình gốc.",table,comparative,11
MultiResUnet,CV,Tại sao Jaccard Index lại được chọn làm hệ số đánh giá chính trong các thí nghiệm của mô hình MultiResUnet thay vì chỉ dùng các chỉ số pixel-wise accuracy thông thường?,"Vì trong ảnh y tế, vùng đối tượng cần phân vùng thường chiếm tỷ lệ rất nhỏ so với nền. Pixel-wise accuracy sẽ bị phóng đại bởi vùng nền lớn, trong khi Jaccard Index đánh giá chính xác vùng giao và hợp của đối tượng, giúp phản ánh chân thực chất lượng phân vùng.",text,summarization,12
MultiResUnet,CV,"Dựa trên kết quả ở Table 4, hãy so sánh relative improvement (%) của MultiResUNet so với U-Net trên hai tập dữ liệu: Endoscopy (Nội soi) và Electron Microscopy (Kính hiển vi điện tử). Giải thích tại sao lại có sự chênh lệch lớn về cải thiện này?","Relative improvement trên Endoscopy là 10.1465%, trong khi trên Electron Microscopy chỉ là 0.6161%. Sự chênh lệch này là do ảnh Endoscopy có biên giới mờ và nhiễu lớn nên khối MultiRes đa tỷ lệ phát huy tác dụng rõ rệt, còn Electron Microscopy là ảnh chiếm đa số đối tượng (majority class) làm cho chỉ số Jaccard Index bị thổi phồng và khó tạo ra cải thiện lớn về mặt số liệu mặc dù ảnh phân vùng trực quan tốt hơn.",table,comparative,14
MultiResUnet,CV,"Trong bài báo MultiResUNet, tác giả đã giải thích thế nào về hiện tượng U-Net dễ bị lỗi nhận diện các hạt sáng nhỏ không phải nhân tế bào (outliers) trong tập ảnh Fluorescence Microscopy tại Hình 10?","U-Net thiếu khả năng phân tích đa độ phân giải sâu sắc và lọc nhiễu tốt, dẫn đến việc nhầm lẫn các hạt nhỏ có độ sáng cao là nhân tế bào. MultiResUNet nhờ các khối MultiRes phân tích đa tỷ lệ có khả năng phân biệt và loại bỏ các nhiễu hạt nhỏ này một cách hiệu quả.",text,summarization,17
MultiResUnet,CV,"Dựa trên biểu đồ hội tụ ở Hình 6, hãy so sánh tốc độ hội tụ (số epochs) và độ ổn định (standard deviation) giữa MultiResUNet và U-Net trong quá trình huấn luyện.","MultiResUNet đạt điểm Jaccard cao và hội tụ nhanh hơn nhiều so với U-Net (cần ít epoch hơn). Ngoài ra, dải biểu diễn độ lệch chuẩn của MultiResUNet hẹp hơn rõ rệt so với U-Net, chứng tỏ mô hình có độ robust và ổn định cao hơn qua các fold kiểm chéo.",image,comparative,15
TransUNet,CV,Tại sao việc sử dụng thuần túy Transformer làm encoder trực tiếp kết hợp naive upsampling (None decoder) lại không mang lại hiệu năng phân vùng tối ưu cho ảnh y tế?,"Vì Transformer xử lý ảnh dưới dạng chuỗi 1D và tập trung hoàn toàn vào học ngữ cảnh toàn cục, dẫn đến việc mất mát các đặc trưng không gian có độ phân giải cao và chi tiết biên của đối tượng (localization information) vốn rất cần thiết để khôi phục vùng phân vùng chính xác.",text,summarization,2
TransUNet,CV,"Dựa vào Table 1 của bài báo TransUNet, hãy so sánh kết quả DSC (%) và HD (mm) trên tập Synapse giữa cấu hình ViT-None (naive upsampling) và ViT-CUP (sử dụng cascaded upsampler). Kết quả này chứng minh điều gì?","ViT-None đạt 61.50% DSC và 39.61 mm HD, trong khi ViT-CUP đạt 67.86% DSC và 36.11 mm HD. Kết quả này cải thiện 6.36% DSC và giảm 3.50 mm HD, chứng minh CUP là giải pháp giải mã (decoding) vượt trội giúp khôi phục chi tiết định vị tốt hơn so với upsample trực tiếp.",table,comparative,6
TransUNet,CV,Cơ chế hoạt động của Cascaded Upsampler (CUP) trong TransUNet giúp khôi phục độ phân giải đặc trưng của ảnh từ ẩn họa sang độ phân giải đầy đủ như thế nào?,"CUP thực hiện tuần tự nhiều bước giải mã bằng cách ghép nối liên tiếp các khối gồm: một phép upsampling 2x, một lớp convolution 3x3 và một hàm kích hoạt ReLU, giúp đưa độ phân giải từ H/16 x W/16 dần đạt mức H x W của ảnh gốc.",text,summarization,5
TransUNet,CV,"Dựa trên Table 3, so sánh hiệu năng DSC (%) trên hai cơ quan Gallbladder và Organ Average của TransUNet khi thay đổi patch size từ 32 xuống 16 và 8. Xu hướng này chỉ ra điều gì?","Khi patch size là 32, Gallbladder đạt 63.06% và Average đạt 76.99%. Khi patch size là 16, Gallbladder đạt 63.13% và Average đạt 77.48%. Khi patch size là 8, Gallbladder giảm xuống 58.31% nhưng Average tăng lên 77.83%. Xu hướng chung cho thấy patch size nhỏ hơn (sequence length dài hơn) cải thiện Average DSC tổng thể nhưng có thể gây bất ổn định đối với một số cơ quan nhỏ/khó phân vùng như Gallbladder (giảm mạnh ở patch size 8).",table,comparative,9
TransUNet,CV,Tại sao việc kết hợp CNN và Transformer thành kiến trúc Hybrid Encoder trong TransUNet lại hoạt động tốt hơn việc chỉ dùng ảnh thô trực tiếp cho ViT encoder?,"Vì Hybrid Encoder cho phép tận dụng các bản đồ đặc trưng có độ phân giải cao trung gian từ CNN trong đường dẫn decoding (thông qua skip connections), giúp bù đắp chi tiết không gian bị thiếu hụt của Transformer.",text,summarization,5
TransUNet,CV,"Theo Table 1, so sánh điểm Dice Score (%) trên hai cơ quan Liver và Pancreas giữa TransUNet và mô hình tốt nhất của nhóm CNN (R50 AttnUNet). Nhận xét về sự chênh lệch hiệu năng trên hai cơ quan này.","Trên Liver, TransUNet đạt 94.08%, tương đương với R50 AttnUNet (93.56%). Trên Pancreas, TransUNet đạt 55.86% còn R50 AttnUNet đạt 49.37% (TransUNet vượt trội hơn tới 6.49%). Điều này cho thấy TransUNet vượt trội rõ rệt trên cơ quan khó phân vùng, có kích thước nhỏ và biến động lớn như Pancreas nhờ khả năng học ngữ cảnh toàn cục của Transformer.",table,comparative,6
Attention is All you need;BERT,NLP,"So sánh cách thiết lập tham số cho bộ tối ưu hóa Adam (beta1, beta2 và epsilon) trong quá trình huấn luyện mô hình Transformer big (Attention Is All You Need) và mô hình BERT (BERT)?","Cả hai mô hình đều sử dụng thuật toán tối ưu Adam và cùng đặt tham số beta1 = 0.9. Tuy nhiên, Transformer big sử dụng beta2 = 0.98 và epsilon = 10^-9, trong khi BERT sử dụng beta2 = 0.999.",text;text,comparative,7;13
Attention is All you need;BERT,NLP,"Cả hai bài báo đều đề cập đến việc áp dụng mô hình lớn hơn. Hãy so sánh chi tiết số lượng lớp ẩn (hidden size), số lượng attention heads, và số block Transformer giữa mô hình Transformer (big) và mô hình BERT_LARGE.","Cả hai mô hình lớn đều sử dụng hidden size là 1024 và số attention heads là 16. Tuy nhiên, Transformer (big) chỉ sử dụng 6 blocks ở encoder (và 6 ở decoder), trong khi BERT_LARGE sử dụng tới 24 blocks ở encoder. Điều này làm cho số lượng tham số của BERT_LARGE (340M) lớn hơn đáng kể so với Transformer (big) (213M).",table;text,comparative,9;3
Attention is All you need;BERT,NLP,Cả hai mô hình đều huấn luyện trên dữ liệu văn bản lớn. Hãy so sánh kích thước batch size (tính theo số lượng token trên mỗi batch) được sử dụng trong quá trình huấn luyện Transformer (base model) và quá trình pre-training của BERT.,"Transformer sử dụng kích thước batch chứa khoảng 25,000 source tokens và 25,000 target tokens (tổng cộng khoảng 50,000 tokens mỗi batch). Trong khi đó, BERT pre-training sử dụng kích thước batch lớn hơn nhiều, gồm 256 sequences, mỗi sequence dài 512 tokens, tương đương 128,000 tokens mỗi batch (gấp hơn 2.5 lần so với Transformer).",text;text,comparative,7;13
Attention is All you need;BERT,NLP,Cả hai mô hình đều xử lý vấn đề mã hóa vị trí (positional encoding/embedding) cho các token do cấu trúc không tuần tự. So sánh phương pháp thiết lập positional representation giữa Transformer và BERT và sự đánh đổi của chúng.,"Transformer sử dụng Sinusoidal Positional Encoding cố định bằng công thức toán học sine/cosine, giúp tiết kiệm tham số và có khả năng ngoại suy chuỗi dài hơn. BERT sử dụng Learned Positional Embeddings được tối ưu hóa trực tiếp trong quá trình training, giúp mô hình học biểu diễn vị trí chính xác hơn từ dữ liệu nhưng làm tăng số lượng tham số và giới hạn độ dài chuỗi cố định tối đa.",text;text,comparative,5;4
Attention is All you need;BERT,NLP,So sánh điểm BLEU đạt được của mô hình Transformer (big) trên bài toán WMT 2014 English-to-German với kết quả GLUE Average score của mô hình BERT_LARGE. Hãy chỉ ra tại sao việc so sánh trực tiếp hai con số này lại không hợp lý về mặt bản chất đo lường?,"Transformer (big) đạt 28.4 BLEU, còn BERT_LARGE đạt điểm trung bình GLUE là 82.1. So sánh trực tiếp hai con số này không hợp lý vì BLEU là thang đo dựa trên độ trùng khớp n-gram để đánh giá chất lượng dịch thuật tự động, còn GLUE Average là điểm trung bình cộng của độ chính xác/F1 trên 9 tác vụ hiểu ngôn ngữ tự nhiên khác nhau.",text;text,comparative,1;6
TransUNet;MultiResUnet,CV,So sánh cách tiếp cận cải tiến skip connection của U-Net giữa MultiResUNet và TransUNet. Mục tiêu giải quyết và cơ chế của hai phương pháp có gì khác biệt?,Cả hai đều tìm cách giải quyết nhược điểm của skip connection nguyên bản trong U-Net. MultiResUNet sử dụng Res Paths chèn các khối convolution phi tuyến để làm mịn đặc trưng và thu hẹp khoảng cách ngữ nghĩa (semantic gap) giữa encoder và decoder. TransUNet lại sử dụng cơ chế self-attention của Transformer để học đặc trưng toàn cục trước khi truyền qua skip connections nối với các đặc trưng CNN độ phân giải cao ở decoder để tăng khả năng định vị chính xác.,text;text,comparative,3;7
TransUNet;MultiResUnet,CV,So sánh kích thước ảnh đầu vào (input resolution) và phương pháp xử lý đa tỷ lệ đặc trưng (multi-scale feature extraction) ở encoder của hai mô hình MultiResUNet và TransUNet.,"TransUNet được huấn luyện với input đầu vào là các ảnh 224x224 hoặc 512x512. Đối với MultiResUNet là 256x256 cho các ảnh vi hiển vi và 256x192 cho các tập ảnh còn lại. Tuy nhiên, MultiResUNet thực hiện trích xuất đa tỷ lệ bằng cách sử dụng các bộ lọc song song kích thước 3x3, 5x5, 7x7 trong khối MultiRes Block của CNN. TransUNet lại thực hiện bằng cách chia nhỏ ảnh thành các patch kích thước PxP (ví dụ 16x16) và đưa vào các Transformer layers để mô hình hóa mối quan hệ ngữ cảnh toàn cục.",text;table,comparative,6;11
